Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
02/01/2020,21:00,N,HB_NORTH,14.58
02/01/2020,21:00,N,HB_PAN,13.60
02/01/2020,21:00,N,HB_SOUTH,15.45
02/01/2020,21:00,N,HB_WEST,13.85
02/01/2020,21:00,N,LZ_AEN,15.28
02/01/2020,21:00,N,LZ_CPS,15.74
02/01/2020,21:00,N,LZ_HOUSTON,14.47
02/01/2020,21:00,N,LZ_LCRA,15.36
02/01/2020,21:00,N,LZ_NORTH,14.65
02/01/2020,21:00,N,LZ_RAYBN,14.62
02/01/2020,21:00,N,LZ_SOUTH,16.44
02/01/2020,21:00,N,LZ_WEST,39.18
02/01/2020,22:00,N,HB_BUSAVG,14.03
02/01/2020,22:00,N,HB_HOUSTON,13.92
02/01/2020,22:00,N,HB_HUBAVG,13.93
02/01/2020,22:00,N,HB_NORTH,13.99
02/01/2020,22:00,N,HB_PAN,12.18
02/01/2020,22:00,N,HB_SOUTH,14.62
02/01/2020,22:00,N,HB_WEST,13.18
02/01/2020,22:00,N,LZ_AEN,14.73
02/01/2020,22:00,N,LZ_CPS,14.95
02/01/2020,22:00,N,LZ_HOUSTON,13.89
02/01/2020,22:00,N,LZ_LCRA,14.62
02/01/2020,22:00,N,LZ_NORTH,14.08
02/01/2020,22:00,N,LZ_RAYBN,14.14
02/01/2020,22:00,N,LZ_SOUTH,15.33
02/01/2020,22:00,N,LZ_WEST,29.85
02/01/2020,23:00,N,HB_BUSAVG,11.82
02/01/2020,23:00,N,HB_HOUSTON,11.61
02/01/2020,23:00,N,HB_HUBAVG,11.75
02/01/2020,23:00,N,HB_NORTH,11.64
02/01/2020,23:00,N,HB_PAN,8.10
02/01/2020,23:00,N,HB_SOUTH,12.83
02/01/2020,23:00,N,HB_WEST,10.91
02/01/2020,23:00,N,LZ_AEN,13.07
02/01/2020,23:00,N,LZ_CPS,12.95
02/01/2020,23:00,N,LZ_HOUSTON,11.58
02/01/2020,23:00,N,LZ_LCRA,12.85
02/01/2020,23:00,N,LZ_NORTH,11.69
02/01/2020,23:00,N,LZ_RAYBN,11.78
02/01/2020,23:00,N,LZ_SOUTH,13.85
02/01/2020,23:00,N,LZ_WEST,24.23
02/01/2020,24:00,N,HB_BUSAVG,11.54
02/01/2020,24:00,N,HB_HOUSTON,11.22
02/01/2020,24:00,N,HB_HUBAVG,11.20
02/01/2020,24:00,N,HB_NORTH,11.76
02/01/2020,24:00,N,HB_PAN,7.40
02/01/2020,24:00,N,HB_SOUTH,12.30
02/01/2020,24:00,N,HB_WEST,9.52
02/01/2020,24:00,N,LZ_AEN,11.95
02/01/2020,24:00,N,LZ_CPS,12.17
02/01/2020,24:00,N,LZ_HOUSTON,11.15
02/01/2020,24:00,N,LZ_LCRA,11.94
02/01/2020,24:00,N,LZ_NORTH,11.86
02/01/2020,24:00,N,LZ_RAYBN,12.52
02/01/2020,24:00,N,LZ_SOUTH,13.21
02/01/2020,24:00,N,LZ_WEST,22.44
02/02/2020,01:00,N,HB_BUSAVG,9.68
02/02/2020,01:00,N,HB_HOUSTON,9.78
02/02/2020,01:00,N,HB_HUBAVG,9.18
02/02/2020,01:00,N,HB_NORTH,10
02/02/2020,01:00,N,HB_PAN,2.52
02/02/2020,01:00,N,HB_SOUTH,10.63
02/02/2020,01:00,N,HB_WEST,6.30
02/02/2020,01:00,N,LZ_AEN,10.73
02/02/2020,01:00,N,LZ_CPS,10.88
02/02/2020,01:00,N,LZ_HOUSTON,9.76
02/02/2020,01:00,N,LZ_LCRA,10.53
02/02/2020,01:00,N,LZ_NORTH,10.03
02/02/2020,01:00,N,LZ_RAYBN,11.32
02/02/2020,01:00,N,LZ_SOUTH,11.58
02/02/2020,01:00,N,LZ_WEST,21.41
02/02/2020,02:00,N,HB_BUSAVG,8.17
02/02/2020,02:00,N,HB_HOUSTON,8.29
02/02/2020,02:00,N,HB_HUBAVG,7.52
02/02/2020,02:00,N,HB_NORTH,8.77
